EX_NUM,m1,m2,n1,n2,k1,k2,max_f,min_f,max_g,min_g,alpha,th1,th2,BOOL_ALPHA_THETA,EMIN
3, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 157.1325, 	 0.0022231, 	 1253963.8893, 	 4.1784e-10, 	 2668.6196, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 123.1652, 	 0.0090509, 	 419.8084, 	 4.2038e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 89.9617, 	 0.0090509, 	 867003.0557, 	 9.2447e-10, 	 2655.3026, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 55.109, 	 0.029766, 	 256.5426, 	 1.049e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 40.2524, 	 0.029766, 	 476886.5951, 	 2.0764e-09, 	 2390.0122, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 13.7203, 	 0.083846, 	 123.8007, 	 3.0372e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 10.0215, 	 0.069443, 	 177790.9517, 	 4.6446e-09, 	 1846.4222, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
3, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 11.1168, 	 0.12009, 	 11.6136, 	 0.050937, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 5.8522, 	 0.10837, 	 16.9423, 	 0.069319, 	 1.8756, 	 0.8518, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 157.1325, 	 0.0022231, 	 1253963.8893, 	 4.1784e-10, 	 2668.6196, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 123.1652, 	 0.0090509, 	 419.8084, 	 4.2038e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 89.9617, 	 0.0090509, 	 867003.0557, 	 9.2447e-10, 	 2655.3026, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 55.109, 	 0.029766, 	 256.5426, 	 1.049e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 40.2524, 	 0.029766, 	 476886.5951, 	 2.0764e-09, 	 2390.0122, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 13.7203, 	 0.083846, 	 123.8007, 	 3.0372e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 10.0215, 	 0.069443, 	 177790.9517, 	 4.6446e-09, 	 1846.4222, 	 0.9391, 	 1, 	 y,  	 1.000000e-12 
2, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 11.1168, 	 0.12009, 	 11.6136, 	 0.050937, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 5.8522, 	 0.10837, 	 16.9423, 	 0.069319, 	 1.8756, 	 0.8518, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 5483470.7248, 	 0.0022231, 	 5401510408.8806, 	 2.0864e-07, 	 2668.6108, 	 8.1014, 	 0.9391, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 123.1652, 	 0.0090509, 	 419.8084, 	 4.2038e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 3498942.5496, 	 0.0089953, 	 4073061540.0926, 	 4.9264e-07, 	 2655.2839, 	 8.279, 	 0.9391, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 55.109, 	 0.029766, 	 256.5426, 	 1.049e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 2179705.7951, 	 0.024652, 	 2919447281.172, 	 1.3495e-06, 	 2390.0163, 	 8.8455, 	 0.9391, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 13.7203, 	 0.083846, 	 123.8007, 	 3.0372e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 764964.2681, 	 0.073651, 	 1432440020.5532, 	 3.7093e-06, 	 1846.4252, 	 9.4742, 	 0.9391, 	 y,  	 1.000000e-12 
2, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 11.1168, 	 0.12009, 	 11.6136, 	 0.050937, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 35.0814, 	 0.010828, 	 90.4559, 	 0.0034006, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 11.4599, 	 0.0051763, 	 11.4599, 	 0.0051763, 	 1.0873, 	 1.1832, 	 0.48843, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 16.9294, 	 0.023513, 	 59.8677, 	 0.006752, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 8.7322, 	 0.014545, 	 8.7322, 	 0.014545, 	 1.2245, 	 1.3264, 	 0.49202, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 4.5959, 	 0.053194, 	 31.8445, 	 0.014965, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
